codigo_mao_de_obra;descricao;unidade;operacao;ups;tipo
6393;INST ESTR PRIM P1,PT1,PTA1 LM;UN;INSTALAR;2.4; LM 
6960;INST ESTR PRIM P2,PT2 LM;UN;INSTALAR;2.4; LM 
6394;INST ESTR PRIM P3 LM;UN;INSTALAR;6; LM 
6395;INST ESTR PRIM P4 LM;UN;INSTALAR;6; LM 
7394;INST ESTR. PRIM ?  TE E T4 CRZ CONC LM;UN;INSTALAR;11.97; LM 
6400;INST ESTR PRIM U1/U2 LM;UN;INSTALAR;0.8; LM 
6401;INST ESTR PRIM U3/U4 LM;UN;INSTALAR;2; LM 
6589;INST ESTR PRIM U3-2/U2-3 LM;UN;INSTALAR;2; LM 
6402;INST EST SEC EM REDE CONVENCIONAL LM;UN;INSTALAR;1; LM 
6403;INST EST SEC EM REDE MULTIPLEXADA LM;UN;INSTALAR;0.5; LM 
6383;INST ESTR PRIM CE3/CE4 LM;UN;INSTALAR;5; LM 
7043;INST GRAMPO LINHA VIVA COM JUMPER LM;UN;INSTALAR;0.3; LM 
6429;INST ISOLADOR CADEIA LM;UN;INSTALAR;0.5; LM 
6430;INST ISOLADOR PILAR LM;UN;INSTALAR;0.5; LM 
6563;INST ISOLADOR PINO LM;UN;INSTALAR;0.5; LM 
7418;INST JUMPER NA REDE MT/BT LM;UN;INSTALAR;0.19; LM 
6411;INST KIT INST ELET RES INT BAIX RENDA LM;UN;INSTALAR;3.38; LM 
6634;INST LACRE MED E/OU CX MED LM;UN;INSTALAR;1; LM 
6247;EST  ILUM INST LUMIN SIMPLES LM;UN;INSTALAR;2.5; LM 
6472;INST MAO FRANC LM;UN;INSTALAR;0.2; LM 
6195;INST MED MEDIA TENSAO CONJ TCS E TPS;CJ;INSTALAR;11; LM 
6239;INST MED EM CAIXA CP-TRAFO LM;UN;INSTALAR;2.5; LM 
6420;INST MED PADRAO AREA RUR ELETROMECANICO;UN;INSTALAR;0.5; LM 
7423;INST N1, M1, B1 CRZ DE CONC LM;UN;INSTALAR;2.99; LM 
7426;INST N2, M2, B2 CRZ DE CONC LM;UN;INSTALAR;2.99; LM 
7429;INST N2-3 / M2-3 CRZ DE CONC LM;UN;INSTALAR;7.5; LM 
6423;INST PADR ENERG BIFASICO LM;UN;INSTALAR;2; LM 
6240;INST PADR ENERG MONOFASICO LM;UN;INSTALAR;2; LM 
6242;INST PADR ENERG TRIFASICO LM;UN;INSTALAR;2; LM 
6196;INST PADR ENERG TRIF T5/T6/T7-INDIR LM;UN;INSTALAR;16; LM 
6082;INST PARA-RAIOS RD < 34,5 KV LM;UN;INSTALAR;1; LM 
6083;INST PARA-RAIOS RD => 34,5 KV LM;UN;INSTALAR;1; LM 
6661;FORN/INST PLACA DE OBRA;UN;INSTALAR;60; LM 
6425;INST POSTE ACIMA 13M LM;UN;INSTALAR;4.5; LM 
6243;INST POSTE ATE 13M <69KV GUIN LM;UN;INSTALAR;3; LM 
6426;INST POSTE ATE 13M <69KV MANUAL LM;UN;INSTALAR;4; LM 
6329;INST POSTO TRANSF ESTRUT MT1 LM;UN;INSTALAR;22; LM 
6330;INST POSTO TRANSF ESTRUT MT2 LM;UN;INSTALAR;25; LM 
6216;INS RAMAL ENTR C/ELETR CX CP RD LM;UN;INSTALAR;1.2; LM 
6253;INST RAMAL SERVICO BIFASICO LM;UN;INSTALAR;0.5; LM 
6250;INST RAMAL SERVICO MONOFASICO LM;UN;INSTALAR;0.5; LM 
6254;INST RAMAL SERVICO TRIFASICO LM;UN;INSTALAR;0.5; LM 
6390;INST REGULADOR TENSAO NA REDE MT LM;UN;INSTALAR;11; LM 
6458;INST RELIG TRIP NA REDE MT LM;UN;INSTALAR;11; LM 
6332;INST SAPATA PANTANO COM MANILHA;UN;INSTALAR;15; LM 
6595;INST SAPATA PANTANO COM TAMBOR;UN;INSTALAR;15; LM 
6596;INST SAPATA PANTANO COM TORA;UN;INSTALAR;15; LM 
6636;INST SEPARADOR VERTICAL 50/185MMý LM;UN;INSTALAR;2; LM 
6092;INST TRANSF DISTRIBUIC AEREO MONO LM;UN;INSTALAR;8; LM 
6093;INST TRANSF DISTRIBUIC AEREO TRIF LM;UN;INSTALAR;11; LM 
92325;KM RODADO EM DESLOCAMENTO PARA OUTRA REGIONAL (POR COLABORADOR) - LM - KM;KM;INSTALAR;0.02; LM 
6333;LANCAR COND ELETR SUBTER LM;M.LINEAR;INSTALAR;0.05; LM 
6473;INST ELETRODUTO REDE SUBTERRANEA TODOS;M.LINEAR;INSTALAR;0.05; LM 
6377;EFET LEVANTAM GEOREF RDR LM;KM;INSTALAR;2.25; LM 
6169;LIMP FAIXA CAMPO-10M LARGURA;HEC;INSTALAR;11; LM 
6128;LIMP FAIXA CERRADO E CAPOEIRA;HEC;INSTALAR;16.13; LM 
6137;LIMP FAIXA SERVIDAO MECANIZADA;HEC;INSTALAR;28.82; LM 
6129;LIMP FAIXA VEGETACAO DENSA;HEC;INSTALAR;22; LM 
6445;MUDAR TAP TRANSF LM;UN;INSTALAR;0.5; LM 
6446;NIVELAR COND TODAS FASES LM;KM;INSTALAR;8; LM 
6603;NIVELAR COND AT P/FASE LM;KM;INSTALAR;2.67; LM 
6614;NIVELAR COND BT P/FASE LM;KM;INSTALAR;2; LM 
6246;NIVELAR COND RAMAL SERV LM;UN;INSTALAR;0.5; LM 
6447;NIVELAR CRUZETA LM;UN;INSTALAR;0.5; LM 
6223;CODIF EQUIP DISTRIBUICAO LM;UN;INSTALAR;0.1; LM 
6170;OPER CHAVE FACA AB E FC EMERG LM;UN;INSTALAR;0.5; LM 
6171;OPER CHAVE FUS AB E FC EMERG LM;UN;INSTALAR;0.5; LM 
6448;OPER RELIG/DISJ AB E FC LM;UN;INSTALAR;0.5; LM 
6335;PINTAR N§ PATR EQU INST LM;UN;INSTALAR;0.5; LM 
6438;PINT NUM PST C/FORNEC MAT LM;POSTE;INSTALAR;0.5; LM 
6156;PODAR ARV GRANDE LM;UN;INSTALAR;0.7; LM 
6155;SERV OFIC PODAR ARVORE RURAL LM;UN;INSTALAR;0.7; LM 
6181;SERVI€O EXCLUSIVO DE PODA DE ARVORE URB/RUR  C/RECOLHA;UN;INSTALAR;0.73; LM 
6182;SERVI€O EXCLUSIVO DE PODA DE ARVORE URB/RUR  S/RECOLHA;UN;INSTALAR;0.5; LM 
6439;REAP CONEXOES PRIMARIAS LM;UN;INSTALAR;0.2; LM 
6440;REAP CONEXOES SECUNDARIAS LM;UN;INSTALAR;0.1; LM 
6883;REAP E REG CHAVE FUS LM;UN;INSTALAR;0.38; LM 
6441;REAP PARAFUSO ESTRUT PRIM LM;UN;INSTALAR;0.5; LM 
6210;EFET RECUPER CX CP REDE LM;UN;INSTALAR;0.08; LM 
6442;REEMB ATEST ALINH POR RUA LM;UN;INSTALAR;0.5; LM 
6295;REEMB ATEST ALINH POR PST LM;UN;INSTALAR;0.1; LM 
6444;REFAZ AMARR BT LM;UN;INSTALAR;0.1; LM 
6443;REFAZ AMARR MT LM;UN;INSTALAR;0.2; LM 
6598;REINST CH MONO FUSIVEL 3 OPERACOES LM;CJ;INSTALAR;1.19; LM 
6598;REINST CH MONO FUSIVEL 3 OPERACOES LM;CJ;RETIRAR;0.51; LM 
6437;REINST CH MONO FUSIVEL LM;UN;INSTALAR;0.91; LM 
6437;REINST CH MONO FUSIVEL LM;UN;RETIRAR;0.39; LM 
6479;REINST CH TRIP OMNI RUPTER ABER CARGA LM;CJ;INSTALAR;10.5; LM 
6479;REINST CH TRIP OMNI RUPTER ABER CARGA LM;CJ;RETIRAR;4.5; LM 
6463;REINST PARA-RAIO RD < 34,5KV LM;UN;INSTALAR;0.91; LM 
6463;REINST PARA-RAIO RD < 34,5KV LM;UN;RETIRAR;0.39; LM 
6530;REINST PARA-RAIO RD > = 34,5KV LM;UN;INSTALAR;0.91; LM 
6530;REINST PARA-RAIO RD > = 34,5KV LM;UN;RETIRAR;0.39; LM 
